location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,Life Expectancy (years) - Men,Life Expectancy (years) - Women,Happiness Score,Fertility Rate (births per woman)
Bulgaria,744298.0,30890.0,109746.821,4554.734,1.69,799.0,117.813,10355.0,1526.846,,,,,7419396.0,1077.482,0.236,231.1,3700660.0,1904143.0,1914910.0,275053.0,54.57,28.08,28.24,4.06,62.96,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,6781955.0,56731.0,26.42,102.21,8238.763,73.1,76.6,5.687,1.5
Burkina Faso,17632.0,318.0,777.639,14.025,1.23,,,,,,,,,,,,,1053330.0,972376.0,649320.0,,4.65,4.29,2.86,,30.56,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,22673764.0,,,,,59.5,66.9,4.944,5.5
Burundi,30550.0,14.0,2370.131,1.086,1.21,,,,,,,,,,,,,7543.0,4010.0,3533.0,,0.06,0.03,0.03,,27.31,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,12889583.0,,,,,61.8,66.2,3.557,6.1
Cambodia,120493.0,3012.0,7185.954,179.629,1.96,,,,,,,,,2289480.0,138.012,0.2509,728.7,30456720.0,14262170.0,13659518.0,3588183.0,181.64,85.06,81.46,21.4,83.8,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,16767851.0,,,,,66.2,72.2,4.639,2.5
Cameroon,109666.0,1853.0,3928.633,66.381,0.65,,,,,,,,,,,,,1020007.0,834112.0,659641.0,,3.65,2.99,2.36,,41.67,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,27914542.0,,,,,61.1,67.2,4.442,4.9
Canada,2102470.0,29958.0,54674.47,779.054,1.67,1387.0,36.069,4930.0,128.204,,,,,52662229.0,1380.218,0.2292,182.0,68836546.0,31746146.0,29437317.0,7653083.0,179.01,82.56,76.55,19.9,75.46,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,38454328.0,24567.2,4.42,15.01,643.87866,80.8,84.1,7.632,1.6
Central African Republic,12454.0,101.0,2232.24,18.103,1.18,,,,,,,,,,,,,436772.0,375096.0,334906.0,,7.83,6.72,6.0,,24.07,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,5579148.0,,,,,57.6,65.2,3.351,5.4
Chad,5701.0,181.0,321.667,10.213,1.28,,,,,,,,,,,,,285922.0,205259.0,80663.0,,1.61,1.16,0.46,,77.31,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,17723312.0,,,,,59.9,66.2,4.053,5.5
Chile,1804682.0,39096.0,92058.065,1994.314,1.35,3406.0,173.742,,,1701.0,86.769,4486.0,228.834,27121207.0,1391.317,0.1224,119.9,44314172.0,17307888.0,16547811.0,11032389.0,226.05,88.29,84.41,56.28,84.72,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,19603736.0,37974.297,18.95,44.18,1948.0808,78.7,84.1,6.744,1.7
China,132071.0,5699.0,92.624,3.997,1.58,,,,,,,,,,,0.0,1023631.9,2835332000.0,1259967000.0,1207413000.0,120580000.0,198.85,88.36,84.68,8.46,79.17,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,1425887360.0,,,,,76.1,81.5,5.906,1.6
